算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,50-5-8-a1-i1.json,50,5,8,1,1,9102,8337,0.084047462,163,1802.411,1487.261,104.052,210.445,37,8326
LBBD3.py,50-5-8-a100-i2.json,50,5,8,100,2,8059,8059,0,1,1.25,0.4,0.517,0,23,8059
LBBD3.py,70-3-6-a1-i1.json,70,3,6,1,1,15123,12181,0.194538121,50,1841.061,1541.084,105.315,194.339,61,
LBBD3.py,70-3-6-a100-i2.json,70,3,6,100,2,11550,11550,0,1,2.033,0.241,1.605,0,30,11550
LBBD3.py,70-3-7-a0.1-i1.json,70,3,7,0.1,1,15873,12325,0.223524223,32,1821.656,1110.971,292.968,417.461,64,12328
LBBD3.py,70-3-7-a1-i2.json,70,3,7,1,2,15543,12162,0.217525574,32,1848.522,1578.858,171.111,98.06,61,
LBBD3.py,70-3-8-a0.1-i3.json,70,3,8,0.1,3,16681,12538,0.248366405,31,1817.133,195.939,579.33,1041.413,62,12534
LBBD3.py,70-3-8-a100-i1.json,70,3,8,100,1,12746,12746,0,3,174.355,1.091,90.276,82.721,37,12746
LBBD3.py,70-4-6-a1-i1.json,70,4,6,1,1,15219,12169,0.200407386,29,1827.312,1742.262,20.569,64.065,62,
LBBD3.py,70-4-6-a10-i2.json,70,4,6,10,2,13058,11442,0.123755552,67,1828.42,103.85,268.03,1456.038,45,11442
LBBD3.py,70-4-7-a0.1-i3.json,70,4,7,0.1,3,16084,12487,0.223638398,34,1832.937,428.013,801.503,603.024,61,12483
LBBD3.py,70-4-7-a10-i3.json,70,4,7,10,3,13085,12351,0.056094765,90,1804.184,200.681,700.877,902.079,41,12350
LBBD3.py,70-4-8-a0.1-i2.json,70,4,8,0.1,2,15384,11738,0.236999481,28,1823.354,1586.946,101.327,134.674,59,11738
LBBD3.py,70-4-8-a100-i1.json,70,4,8,100,1,11915,11915,0,16,706.7,11.203,514.816,180.159,32,11915
LBBD3.py,70-5-6-a1-i1.json,70,5,6,1,1,14354,12263,0.14567368,74,1824.071,1487.536,92.76,243.122,57,
LBBD3.py,70-5-6-a100-i3.json,70,5,6,100,3,11342,11342,0,1,5.587,0.64,4.543,0,29,11342
LBBD3.py,70-5-7-a1-i1.json,70,5,7,1,1,14646,11405,0.221289089,41,1815.083,1473.604,166.443,174.38,58,
LBBD3.py,70-5-7-a10-i3.json,70,5,7,10,3,11853,11708,0.01223319,114,1804.125,247.999,771.034,784.468,37,11705
LBBD3.py,70-5-8-a10-i2.json,70,5,8,10,2,12175,11083,0.089691992,97,1814.498,983.013,509.858,320.72,41,
LBBD3.py,70-5-8-a100-i1.json,70,5,8,100,1,11648,11648,0,1,2.463,0.587,1.44,0,32,11648
