算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD31.py,20-3-4-a100-i3.json,20,3,4,100,3,3870,3870,0,1,0.697,0.108,0.466,0,12
LBBD31.py,20-3-5-a0.1-i3.json,20,3,5,0.1,3,4780,4152,0.131380753,221,601.429,505.72,94.947,0,20
LBBD31.py,20-3-5-a10-i2.json,20,3,5,10,2,3421,3421,0,78,95.764,39.413,50.616,0,11
LBBD31.py,20-4-3-a0.1-i2.json,20,4,3,0.1,2,3761,3761,0,59,128.143,82.448,43.56,0,10
LBBD31.py,20-4-3-a1-i2.json,20,4,3,1,2,3773,3773,0,78,205.196,149.309,54.245,0,9
LBBD31.py,20-4-4-a0.1-i2.json,20,4,4,0.1,2,3644,3644,0,98,226.337,163.308,61.659,0,11
LBBD31.py,20-4-4-a1-i1.json,20,4,4,1,1,3091,3091,0,1,4.691,0.135,4.363,0,14
LBBD31.py,20-4-5-a10-i3.json,20,4,5,10,3,3364,3364,0,1,0.771,0.14,0.458,0,9
LBBD31.py,20-4-5-a100-i3.json,20,4,5,100,3,3364,3364,0,1,0.821,0.134,0.462,0,9
LBBD31.py,25-2-3-a10-i1.json,25,2,3,10,1,4670,4670,0,1,0.468,0.09,0.274,0,14
LBBD31.py,25-2-3-a100-i3.json,25,2,3,100,3,4446,4446,0,1,0.491,0.102,0.29,0,19
LBBD31.py,25-2-4-a1-i2.json,25,2,4,1,2,7300,5547,0.240136986,138,600.241,555.699,43.085,0,25
LBBD31.py,25-2-4-a10-i2.json,25,2,4,10,2,5188,5188,0,95,117.679,31.442,84.243,0,11
LBBD31.py,25-2-5-a0.1-i2.json,25,2,5,0.1,2,7300,5457,0.252465753,254,601.53,484.411,113.439,0,25
LBBD31.py,25-2-5-a1-i1.json,25,2,5,1,1,5930,4725,0.203204047,169,605.543,546.463,57.684,0,25
LBBD31.py,25-3-3-a0.1-i2.json,25,3,3,0.1,2,6990,5285,0.243919886,111,602.448,553.425,48.491,0,25
LBBD31.py,25-3-3-a1-i2.json,25,3,3,1,2,6990,5407,0.226466381,81,608.012,570.709,36.884,0,25
LBBD31.py,25-3-4-a0.1-i1.json,25,3,4,0.1,1,6070,4411,0.273311367,119,602.037,541.102,55.164,0,25
LBBD31.py,25-3-4-a1-i2.json,25,3,4,1,2,6990,5035,0.279685265,118,600.842,533.07,67.118,0,25
LBBD31.py,25-3-5-a1-i1.json,25,3,5,1,1,6070,4656,0.232948929,137,602.606,515.802,74.483,0,25
LBBD31.py,25-3-5-a1-i2.json,25,3,5,1,2,6990,5434,0.22260372,108,606.066,545.413,60.035,0,25
LBBD31.py,25-4-3-a0.1-i1.json,25,4,3,0.1,1,6180,4359,0.294660194,110,609.426,540.87,67.911,0,25
LBBD31.py,25-4-3-a1-i1.json,25,4,3,1,1,4271,4271,0,39,134.283,111.232,22.099,0,16
LBBD31.py,25-4-4-a1-i1.json,25,4,4,1,1,6180,4591,0.257119741,203,602.859,455.625,146.239,0,25
LBBD31.py,25-4-4-a1-i2.json,25,4,4,1,2,6860,4810,0.298833819,65,601.153,561.626,39.015,0,25
LBBD31.py,25-4-5-a0.1-i2.json,25,4,5,0.1,2,6860,4752,0.30728863,87,614.146,551.713,61.73,0,25
LBBD31.py,25-4-5-a1-i1.json,25,4,5,1,1,6180,4430,0.283171521,160,604.332,500.908,102.507,0,25
LBBD31noub.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,7,3.307,0.723,2.487,0,15
LBBD31noub.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,0.546,0.111,0.309,0,14
LBBD31noub.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,7840,5180,0.339285714,275,1804.075,1636.152,167.379,0,30
LBBD31noub.py,30-3-7-a100-i1.json,30,3,7,100,1,5184,5184,0,1,0.51,0.092,0.32,0,14
LBBD31noub.py,30-3-8-a0.1-i1.json,30,3,8,0.1,1,7960,5861,0.263693467,337,1800.61,1317.115,482.842,0,30
LBBD31noub.py,30-3-8-a10-i3.json,30,3,8,10,3,5276,5276,0,21,26.138,4.41,21.577,0,16
LBBD31noub.py,30-4-6-a1-i3.json,30,4,6,1,3,7660,4922,0.357441253,217,1802.858,1716.728,85.583,0,30
LBBD31noub.py,30-4-6-a100-i3.json,30,4,6,100,3,4603,4603,0,1,1.696,0.105,1.475,0,12
