算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3.py,10-3-4-a100-i1.json,10,3,4,100,1,2029,2029,0,1,0.214,0.021,0.175,0,4
LBBD3.py,10-3-5-a100-i1.json,10,3,5,100,1,2083,2083,0,1,0.286,0.025,0.235,0,5
LBBD3.py,10-3-5-a100-i2.json,10,3,5,100,2,1965,1965,0,1,0.289,0.02,0.244,0,3
LBBD3.py,10-4-3-a0.1-i1.json,10,4,3,0.1,1,1767,1767,0,1,0.375,0.03,0.322,0,5
LBBD3.py,10-4-3-a10-i1.json,10,4,3,10,1,1760,1760,0,1,0.367,0.028,0.315,0,5
LBBD3.py,10-4-4-a10-i2.json,10,4,4,10,2,1825,1825,0,1,0.385,0.031,0.326,0,3
LBBD3.py,10-4-4-a100-i3.json,10,4,4,100,3,1913,1913,0,1,0.299,0.025,0.239,0,5
LBBD3.py,10-4-5-a1-i3.json,10,4,5,1,3,1846,1846,0,5,2.341,0.201,1.635,0.468,4
LBBD3.py,10-4-5-a100-i2.json,10,4,5,100,2,1900,1900,0,1,0.313,0.028,0.254,0,4
LBBD3.py,15-2-3-a1-i1.json,15,2,3,1,1,3040,3040,0,3,0.766,0.094,0.481,0.172,11
LBBD3.py,15-2-3-a100-i2.json,15,2,3,100,2,2764,2764,0,1,0.208,0.02,0.173,0,6
LBBD3.py,15-2-4-a10-i1.json,15,2,4,10,1,2538,2538,0,1,0.233,0.031,0.183,0,8
LBBD3.py,15-2-4-a100-i3.json,15,2,4,100,3,3098,3098,0,1,0.22,0.029,0.174,0,9
LBBD3.py,15-2-5-a10-i1.json,15,2,5,10,1,2847,2847,0,1,0.218,0.035,0.16,0,10
LBBD3.py,15-2-5-a10-i3.json,15,2,5,10,3,3191,3191,0,1,0.253,0.037,0.187,0,7
LBBD3.py,15-3-3-a10-i3.json,15,3,3,10,3,2995,2995,0,1,0.324,0.049,0.251,0,7
LBBD3.py,15-3-3-a100-i3.json,15,3,3,100,3,2995,2995,0,1,0.312,0.032,0.257,0,7
LBBD3.py,15-3-4-a10-i3.json,15,3,4,10,3,3195,3195,0,1,0.246,0.041,0.177,0,6
LBBD3.py,15-3-4-a100-i3.json,15,3,4,100,3,3195,3195,0,1,0.242,0.041,0.173,0,6
LBBD3.py,15-3-5-a10-i3.json,15,3,5,10,3,3133,3133,0,1,0.37,0.048,0.288,0,6
LBBD3.py,15-3-5-a100-i1.json,15,3,5,100,1,2606,2606,0,1,0.373,0.049,0.285,0,8
LBBD3.py,15-4-3-a10-i1.json,15,4,3,10,1,2678,2678,0,1,0.353,0.057,0.262,0,8
LBBD3.py,15-4-3-a100-i3.json,15,4,3,100,3,3072,3072,0,1,0.441,0.043,0.348,0,3
LBBD3.py,15-4-4-a0.1-i1.json,15,4,4,0.1,1,2228,2228,0,1,0.445,0.057,0.338,0,8
