算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
jizhongshi.py,5-3-3-a0.1-i3.json,5,3,3,0.1,3,1099.0,1099.0,0.0,1,0.099,0.0,0.097,0.0,1
jizhongshi.py,5-3-3-a1-i1.json,5,3,3,1.0,1,796.0,796.0,0.0,1,0.096,0.001,0.094,0.0,2
jizhongshi.py,5-3-3-a1-i2.json,5,3,3,1.0,2,949.0,949.0,0.0,2,0.181,0.002,0.122,0.058,2
jizhongshi.py,5-3-3-a1-i3.json,5,3,3,1.0,3,1099.0,1099.0,0.0,1,0.095,0.001,0.093,0.0,1
jizhongshi.py,5-3-3-a10-i1.json,5,3,3,10.0,1,796.0,796.0,0.0,1,0.097,0.0,0.095,0.0,2
jizhongshi.py,5-3-3-a10-i2.json,5,3,3,10.0,2,938.0,938.0,0.0,1,0.069,0.001,0.068,0.0,1
jizhongshi.py,5-3-3-a10-i3.json,5,3,3,10.0,3,1099.0,1099.0,0.0,1,0.099,0.001,0.098,0.0,1
jizhongshi.py,5-3-3-a100-i1.json,5,3,3,100.0,1,796.0,796.0,0.0,1,0.1,0.001,0.098,0.0,2
jizhongshi.py,5-3-3-a100-i2.json,5,3,3,100.0,2,938.0,938.0,0.0,1,0.066,0.0,0.065,0.0,1
jizhongshi.py,5-3-3-a100-i3.json,5,3,3,100.0,3,1099.0,1099.0,0.0,1,0.096,0.0,0.095,0.0,1
jizhongshi.py,5-3-4-a0.1-i1.json,5,3,4,0.1,1,871.0,871.0,0.0,1,0.067,0.001,0.065,0.0,2
jizhongshi.py,5-3-4-a0.1-i2.json,5,3,4,0.1,2,1007.0,1007.0,0.0,1,0.067,0.0,0.066,0.0,2
jizhongshi.py,5-3-4-a0.1-i3.json,5,3,4,0.1,3,1100.0,1100.0,0.0,1,0.035,0.0,0.034,0.0,3
jizhongshi.py,5-3-4-a1-i1.json,5,3,4,1.0,1,871.0,871.0,0.0,1,0.072,0.001,0.071,0.0,2
jizhongshi.py,5-3-4-a1-i2.json,5,3,4,1.0,2,1007.0,1007.0,0.0,1,0.066,0.001,0.065,0.0,2
jizhongshi.py,5-3-4-a1-i3.json,5,3,4,1.0,3,1194.0,1194.0,0.0,2,0.121,0.001,0.058,0.058,4
jizhongshi.py,5-3-4-a10-i1.json,5,3,4,10.0,1,871.0,871.0,0.0,1,0.069,0.001,0.067,0.0,2
jizhongshi.py,5-3-4-a10-i2.json,5,3,4,10.0,2,1007.0,1007.0,0.0,1,0.067,0.0,0.066,0.0,2
jizhongshi.py,5-3-4-a10-i3.json,5,3,4,10.0,3,1107.0,1107.0,0.0,1,0.033,0.001,0.031,0.0,3
jizhongshi.py,5-3-4-a100-i1.json,5,3,4,100.0,1,871.0,871.0,0.0,1,0.065,0.0,0.064,0.0,2
jizhongshi.py,5-3-4-a100-i2.json,5,3,4,100.0,2,1007.0,1007.0,0.0,1,0.064,0.001,0.063,0.0,2
jizhongshi.py,5-3-4-a100-i3.json,5,3,4,100.0,3,1107.0,1107.0,0.0,1,0.034,0.0,0.033,0.0,3
jizhongshi.py,5-3-5-a0.1-i1.json,5,3,5,0.1,1,885.0,885.0,0.0,1,0.069,0.001,0.067,0.0,2
jizhongshi.py,5-3-5-a0.1-i2.json,5,3,5,0.1,2,1117.0,1117.0,0.0,1,0.068,0.001,0.067,0.0,2
jizhongshi.py,5-3-5-a0.1-i3.json,5,3,5,0.1,3,1081.0,1081.0,0.0,3,0.301,0.004,0.18,0.116,3
jizhongshi.py,5-3-5-a1-i1.json,5,3,5,1.0,1,930.0,930.0,0.0,2,0.217,0.003,0.154,0.06,2
jizhongshi.py,5-3-5-a1-i2.json,5,3,5,1.0,2,1117.0,1117.0,0.0,1,0.068,0.001,0.067,0.0,2
jizhongshi.py,5-3-5-a1-i3.json,5,3,5,1.0,3,1021.0,1021.0,0.0,2,0.187,0.002,0.128,0.056,2
jizhongshi.py,5-3-5-a10-i1.json,5,3,5,10.0,1,885.0,885.0,0.0,1,0.068,0.0,0.067,0.0,2
jizhongshi.py,5-3-5-a10-i2.json,5,3,5,10.0,2,1117.0,1117.0,0.0,1,0.065,0.0,0.064,0.0,2
jizhongshi.py,5-3-5-a10-i3.json,5,3,5,10.0,3,1005.0,1005.0,0.0,1,0.064,0.0,0.063,0.0,2
jizhongshi.py,5-3-5-a100-i1.json,5,3,5,100.0,1,885.0,885.0,0.0,1,0.065,0.0,0.064,0.0,2
jizhongshi.py,5-3-5-a100-i2.json,5,3,5,100.0,2,1117.0,1117.0,0.0,1,0.064,0.0,0.063,0.0,2
jizhongshi.py,5-3-5-a100-i3.json,5,3,5,100.0,3,1005.0,1005.0,0.0,1,0.066,0.0,0.065,0.0,2
jizhongshi.py,5-4-3-a0.1-i1.json,5,4,3,0.1,1,838.0,838.0,0.0,2,0.18,0.0,0.094,0.083,2
jizhongshi.py,5-4-3-a0.1-i2.json,5,4,3,0.1,2,998.0,998.0,0.0,5,0.727,0.004,0.393,0.328,2
jizhongshi.py,5-4-3-a0.1-i3.json,5,4,3,0.1,3,1057.0,1057.0,0.0,1,0.103,0.0,0.102,0.0,1
jizhongshi.py,5-4-3-a1-i1.json,5,4,3,1.0,1,838.0,838.0,0.0,2,0.158,0.002,0.092,0.063,2
jizhongshi.py,5-4-3-a1-i2.json,5,4,3,1.0,2,949.0,949.0,0.0,2,0.215,0.001,0.125,0.088,1
